symbol,n_days_screened,n_days_top20,n_days_material,n_days_tradeable,median_rank,best_rank,n_days_top20_rankonly,days_traded,days_unscreenable,pct_days_unscreenable,pct_days_top20,pct_days_top20_screened,pct_days_top20_rankonly,pct_days_material,pct_days_tradeable,n_days_level,ceiling_median,ceiling_p25,ceiling_p75,ceiling_max,ceiling_raw_median,notional_m_median,spread_bps_median,pct_time_wide_median,mk1_bps_median,mk5_bps_median,mk10_bps_median,mk60_bps_median,pct_days_edge5_pos,pct_days_edge10_pos,ceiling_iqr,iqr_over_median,net5_trec_median,net10_trec_median
PPL,207,160,207,207,10.0,1.0,160,207,0,0.0,0.7729468599033816,0.7729468599033816,0.7729468599033816,1.0,1.0,186.0,471958.986563951,324411.4525096273,774937.0273684566,2706307.611384391,537122.8425014995,1439.332896085,7.352050055018674,0.0073248620471303,2.312369679520266,2.111465067797473,1.856548020313428,1.2939612636116,0.956989247311828,0.8548387096774194,450525.57485882926,0.9545862833099852,1.3314650677974729,1.076548020313428
NBP,207,158,206,206,9.0,1.0,158,207,0,0.0,0.7632850241545893,0.7632850241545893,0.7632850241545893,0.9951690821256038,0.9951690821256038,186.0,508306.2325860448,301028.0351629559,942977.2126063822,6715161.168477307,560867.4280204974,1368.2876942500002,8.707370850020965,0.0181742935172408,2.008411965219132,1.7319019419052055,1.5278467580067985,0.9130235515201952,0.9623655913978496,0.8602150537634409,641949.1774434263,1.2629181707599046,0.9519019419052056,0.7478467580067985
OGDC,207,120,207,207,17.0,1.0,120,207,0,0.0,0.5797101449275363,0.5797101449275363,0.5797101449275363,1.0,1.0,186.0,320496.89741693897,218439.70274479108,500667.13862687466,2315758.2493053977,374979.90965599986,1378.0486502549998,5.7026691169701405,0.0039185643613931,1.7487057183220234,1.6546777153813053,1.6341219784711345,1.2390219531367368,0.9516129032258064,0.8978494623655914,282227.4358820836,0.8805933478817111,0.8746777153813052,0.8541219784711342
PSO,207,107,207,207,19.0,1.0,107,207,0,0.0,0.5169082125603864,0.5169082125603864,0.5169082125603864,1.0,1.0,186.0,333951.6031315719,198110.6658081186,528506.1775727042,1940392.7416965563,376660.2308490022,1193.63820513,6.571585916088662,0.0040398866358232,1.9535049175144945,1.834572048224532,1.6690147941243656,1.341608201131092,0.956989247311828,0.9247311827956988,330395.51176458556,0.9893514768797642,1.054572048224532,0.8890147941243656
BOP,207,105,207,207,20.0,1.0,105,207,0,0.0,0.5072463768115942,0.5072463768115942,0.5072463768115942,1.0,1.0,186.0,314489.30060005933,178980.53598889397,658635.3622895662,1995874.2314991676,348692.29870849894,1293.46185956,5.752915386884887,0.0065115534630847,1.982642567657836,1.780151842306625,1.5082109174561331,0.5204191223388908,0.946236559139785,0.8924731182795699,479654.82630067226,1.5251864702089066,1.000151842306625,0.7282109174561333
PTC,207,97,202,206,23.0,1.0,97,207,0,0.0,0.4685990338164251,0.4685990338164251,0.4685990338164251,0.9758454106280192,0.9951690821256038,186.0,312024.16005065764,158192.67864971218,645240.9189640186,4256258.421674235,344442.98313650046,500.728542405,12.330460913693628,0.0699825634945614,2.428664949620816,2.1452984625447367,1.9481457441879289,1.2314305309956108,0.9193548387096774,0.8172043010752689,487048.2403143064,1.560931179929251,1.3652984625447366,1.1681457441879288
KEL,207,93,206,207,25.0,1.0,93,207,0,0.0,0.4492753623188406,0.4492753623188406,0.4492753623188406,0.9951690821256038,1.0,186.0,276396.7391334418,146156.5008630435,608872.3630921633,6752011.2101619,327220.27679799893,343.76056692000003,14.336917562724985,0.0979451022926247,5.178103183203536,4.640452059355111,4.466352955742716,3.52930944369276,0.9946236559139784,0.978494623655914,462715.8622291198,1.6741002939463945,3.8604520593551106,3.686352955742715
UBL,207,91,203,206,25.0,1.0,91,207,0,0.0,0.4396135265700483,0.4396135265700483,0.4396135265700483,0.9806763285024156,0.9951690821256038,186.0,231819.6401045929,127227.51664615874,553563.2976751254,3827966.308670081,306977.21765600157,555.34354128,9.554889245652133,0.0343765345161586,3.115959502238531,3.013263035426304,2.872573253587921,2.157758321682287,0.978494623655914,0.9623655913978496,426335.78102896665,1.839083956978846,2.2332630354263037,2.092573253587921
LUCK,207,89,206,206,24.0,1.0,89,207,0,0.0,0.429951690821256,0.429951690821256,0.429951690821256,0.9951690821256038,0.9951690821256038,186.0,249398.2477140744,161683.6006799957,439237.13416665414,1367056.961216648,295350.0303680035,704.7684495149999,8.72435214480725,0.0231671716421684,2.732994238738099,2.6055496256606117,2.493068238594352,2.002923429683198,0.989247311827957,0.956989247311828,277553.5334866585,1.112892877278204,1.8255496256606116,1.713068238594352
MLCF,207,86,205,206,26.0,1.0,86,207,0,0.0,0.4154589371980676,0.4154589371980676,0.4154589371980676,0.9903381642512076,0.9951690821256038,186.0,250714.46281393257,163729.53623045346,476198.861155303,2257797.028988163,282135.93088199577,649.027716495,7.770352978808401,0.0298024194421,2.431433664542165,2.2396299585967623,2.083649547112566,1.4106931969828345,0.956989247311828,0.9193548387096774,312469.32492484956,1.246315515338851,1.4596299585967625,1.3036495471125658
