date,n_reg,n_all,min_utc,max_utc,p05_utc,p50_utc,p95_utc
2026-03-10,251073,286404,2026-03-10T04:15:00.120000+0000,2026-03-10T08:30:00.006000+0000,2026-03-10T04:18:36.789000+0000,2026-03-10T06:25:11.766000+0000,2026-03-10T08:21:21.875400+0000
2026-03-11,270467,310467,2026-03-11T04:15:00.096000+0000,2026-03-11T08:29:59.928000+0000,2026-03-11T04:23:17.087000+0000,2026-03-11T06:09:48.603000+0000,2026-03-11T08:20:24.992000+0000
2026-03-12,238057,270836,2026-03-12T04:15:00.112000+0000,2026-03-12T08:30:00.001000+0000,2026-03-12T04:22:45.045000+0000,2026-03-12T06:18:37.401000+0000,2026-03-12T08:22:29.161000+0000
2026-03-13,186717,212289,2026-03-13T04:15:00.093000+0000,2026-03-13T07:30:00.001000+0000,2026-03-13T04:22:30.876200+0000,2026-03-13T06:01:05.634000+0000,2026-03-13T07:24:44.401800+0000
2026-03-16,247841,278644,2026-03-16T04:15:00.101000+0000,2026-03-16T08:30:00.044000+0000,2026-03-16T04:25:02.356000+0000,2026-03-16T06:51:37.204000+0000,2026-03-16T08:24:33.613000+0000
2026-03-17,208094,243237,2026-03-17T04:15:00.097000+0000,2026-03-17T08:30:00.035000+0000,2026-03-17T04:23:13.265000+0000,2026-03-17T06:22:41.693000+0000,2026-03-17T08:22:36.900000+0000
2026-03-18,238006,276806,2026-03-18T04:15:00.096000+0000,2026-03-18T08:30:21.605000+0000,2026-03-18T04:28:50.527000+0000,2026-03-18T06:18:59.449000+0000,2026-03-18T08:23:21.535500+0000
2026-03-19,126753,141583,2026-03-19T04:25:49.370000+0000,2026-03-19T08:30:00.029000+0000,2026-03-19T05:29:05.585000+0000,2026-03-19T07:30:29.593000+0000,2026-03-19T08:27:18.657200+0000
2026-03-24,279571,345507,2026-03-24T04:30:00.130000+0000,2026-03-24T10:30:00.003000+0000,2026-03-24T04:35:05.094000+0000,2026-03-24T06:54:50.180000+0000,2026-03-24T10:21:32.650500+0000
2026-03-25,369091,476473,2026-03-25T04:30:00.101000+0000,2026-03-25T10:30:00.044000+0000,2026-03-25T04:43:03.839000+0000,2026-03-25T07:20:57.347000+0000,2026-03-25T10:19:20.514500+0000
2026-03-26,360192,449572,2026-03-26T04:30:00.112000+0000,2026-03-26T10:30:00.067000+0000,2026-03-26T04:39:10.629000+0000,2026-03-26T07:30:29.589000+0000,2026-03-26T10:21:27.060000+0000
2026-03-27,119466,162294,2026-03-27T04:29:38.895000+0000,2026-03-27T11:30:22.982000+0000,2026-03-27T05:38:39.489250+0000,2026-03-27T10:41:53.347000+0000,2026-03-27T11:27:35.248000+0000
2026-03-30,384897,429235,2026-03-30T04:30:00.100000+0000,2026-03-30T10:29:59.964000+0000,2026-03-30T04:42:50.154000+0000,2026-03-30T06:39:48.042000+0000,2026-03-30T10:18:56.397000+0000
2026-03-31,260584,295149,2026-03-31T04:30:00.101000+0000,2026-03-31T10:30:00.056000+0000,2026-03-31T04:39:29.336150+0000,2026-03-31T07:51:58.246000+0000,2026-03-31T10:23:20.270400+0000
2026-04-01,375030,430139,2026-04-01T04:30:00.122000+0000,2026-04-01T10:30:00.073000+0000,2026-04-01T04:38:42.262450+0000,2026-04-01T06:55:06.274000+0000,2026-04-01T10:18:10.118550+0000
2026-04-02,267105,302505,2026-04-02T04:30:00.119000+0000,2026-04-02T10:30:00.068000+0000,2026-04-02T04:34:58.047000+0000,2026-04-02T06:59:50.804000+0000,2026-04-02T10:21:15.780000+0000
2026-04-03,194093,221307,2026-04-03T04:16:02.460000+0000,2026-04-03T11:30:20.302000+0000,2026-04-03T04:25:35.831200+0000,2026-04-03T10:13:03.225000+0000,2026-04-03T11:26:55.598600+0000
2026-04-06,327721,376654,2026-04-06T04:30:00.095000+0000,2026-04-06T10:29:59.956000+0000,2026-04-06T04:40:36.397000+0000,2026-04-06T07:38:19.509000+0000,2026-04-06T10:19:15.818000+0000
2026-04-07,245894,277128,2026-04-07T04:30:00.114000+0000,2026-04-07T10:30:00.030000+0000,2026-04-07T04:39:14.787000+0000,2026-04-07T07:21:12.016000+0000,2026-04-07T10:24:16.523000+0000
2026-04-08,392242,433134,2026-04-08T04:30:00.340000+0000,2026-04-08T10:29:59.984000+0000,2026-04-08T04:32:28.088150+0000,2026-04-08T07:03:03.776500+0000,2026-04-08T10:17:36.937950+0000
2026-04-09,462209,524170,2026-04-09T04:30:00.119000+0000,2026-04-09T10:30:00.029000+0000,2026-04-09T04:35:00.695000+0000,2026-04-09T06:29:43.219000+0000,2026-04-09T10:17:39.541000+0000
