date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-09-01,UBL,5367,199,1622,1143,0,0,-271.0,-1015.3200674111722,-510.48176077916287,True,0.0,True,0.4978
2025-09-01,PPL,25308,580,4772,3110,8,0,159.0,-2147.554121653062,-2134.209489835066,True,0.0,True,0.3807
2025-09-02,UBL,4947,187,1813,1157,6,0,-270.0,77.18283953005448,242.70381053005985,True,0.0,True,0.2786
2025-09-02,PPL,20094,433,4670,2298,80,0,-538.0,-1144.879547076911,-990.0060891369067,True,0.0,True,0.1969
2025-09-03,UBL,6900,241,2132,1301,25,0,-542.0,277.9678620058985,519.090043171891,True,0.0,True,0.3508
2025-09-03,PPL,33053,653,8870,3372,229,0,503.0,-2804.059924659072,-2672.9396597790765,True,0.0,True,0.2101
2025-09-04,UBL,7362,248,2331,1445,25,0,-200.0,1103.9483076741308,1169.9156676741259,True,0.0,True,0.3021
2025-09-04,PPL,25432,600,6246,3060,83,0,-413.0,-1909.5622320908733,-1854.9142479898874,True,0.0,True,0.1896
2025-09-05,UBL,8460,209,2266,1239,22,305,-260.0,-206.40450968210644,-134.96714368210814,True,0.0,True,0.2152
2025-09-05,PPL,50685,673,9752,3024,299,2213,115.0,1105.952669066919,1112.215744326917,True,0.0,True,0.2244
2025-09-08,UBL,14531,268,4192,1892,188,0,-548.0,3028.397789890121,3099.2928786901466,True,0.0,True,0.2525
2025-09-08,PPL,43325,960,10744,4638,484,0,477.0,-1010.2403421520867,-922.4361145770818,True,0.0,True,0.1813
2025-09-09,UBL,11646,353,3192,1804,7,0,-533.0,-207.8252836029278,-61.5443397029303,True,0.0,True,0.249
2025-09-09,PPL,40981,931,10775,4169,274,57,105.0,-1457.5748685919898,,True,0.0,True,0.1778
2025-09-10,UBL,9968,158,1750,1003,5,0,-401.0,-300.6688900240115,-268.6131503950164,True,0.0,True,0.2548
2025-09-10,PPL,57807,1304,14931,5257,268,0,276.0,1161.9402730197617,1179.945676739757,True,0.0,True,0.1661
