date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-09-01,UBL,5367,359,1142,907,0,0,-29.0,883.2552297051261,931.991611905125,True,0.0,True,0.4978
2025-09-01,PPL,25308,81,4276,3941,3,0,451.0,1095.8781399679574,1133.729894369957,True,0.0,True,0.3807
2025-09-02,UBL,4947,374,1286,897,11,0,-243.0,979.3678361018538,1125.1864652468357,True,0.0,True,0.2786
2025-09-02,PPL,20094,66,4804,3215,5,0,395.0,203.9153200280416,306.168752778045,True,0.0,True,0.1969
2025-09-03,UBL,6900,320,1605,1044,13,0,-1.0,-433.83823148084053,-433.3933566078406,True,0.0,True,0.3508
2025-09-03,PPL,33053,210,7437,4463,38,0,-239.0,1373.1347869009987,1412.351582291005,True,0.0,True,0.2101
2025-09-04,UBL,7362,448,1972,1261,35,0,-217.0,1057.6044048637414,1129.1789904637408,True,0.0,True,0.3021
2025-09-04,PPL,25432,109,5438,4077,57,0,452.0,759.8615925550403,771.762499967037,True,0.0,True,0.1896
2025-09-05,UBL,8460,490,2386,1419,54,305,514.0,2644.7304450318334,2789.3167902838322,True,0.0,True,0.2152
2025-09-05,PPL,50685,240,13857,6650,117,2213,533.0,2040.7381522710057,2069.766144562993,True,0.0,True,0.2244
2025-09-08,UBL,14531,741,4446,2106,343,0,-286.0,107.66799630067544,144.66798790068424,True,0.0,True,0.2525
2025-09-08,PPL,43325,252,11259,7117,290,0,-143.0,1453.8868624109891,1479.6078602849884,True,0.0,True,0.1813
2025-09-09,UBL,11646,641,2972,1909,25,0,104.0,-887.5547408839338,-858.9760803839381,True,0.0,True,0.249
2025-09-09,PPL,40981,215,10946,6063,43,57,7.0,3093.12339310104,,True,0.0,True,0.1778
2025-09-10,UBL,9968,369,2009,1306,43,0,57.0,1435.8008085390393,1440.032846499038,True,0.0,True,0.2548
2025-09-10,PPL,57807,384,15482,8586,102,0,447.0,1796.972304169045,1826.1332297590416,True,0.0,True,0.1661
2025-09-11,UBL,6955,235,1309,901,8,0,509.0,933.2084474331059,996.3794061991211,True,0.0,True,0.3825
2025-09-11,PPL,38831,164,7581,5669,25,0,507.0,-1447.1730152210512,-1437.1043257850688,True,0.0,True,0.1896
2025-09-12,UBL,16913,970,4337,2104,88,376,-505.0,-487.2350634028844,-245.62769625289366,True,0.0,True,0.2657
2025-09-12,PPL,29237,214,6879,4439,98,1347,460.0,1935.9193365529936,1965.6888713529916,True,0.0,True,0.1481
2025-09-15,UBL,8024,302,1602,1154,9,0,-520.0,347.5658096179541,372.75326957795187,True,0.0,True,0.2621
2025-09-15,PPL,18905,130,4490,3530,26,0,79.0,1218.1733185409848,1226.7387136459838,True,0.0,True,0.1614
2025-09-16,UBL,8764,391,2302,1607,28,0,-318.0,1055.7558117399894,1095.0336208539957,True,0.0,True,0.2628
2025-09-16,PPL,25785,130,5888,4384,15,0,362.0,1921.1652817850118,1948.3031815730064,True,0.0,True,0.2164
2025-09-17,UBL,9138,255,1607,1288,2,0,-534.0,1562.6099087249022,1711.2959075249091,True,0.0,True,0.313
2025-09-17,PPL,37557,99,5533,4282,20,0,536.0,1595.8423430739786,1653.2389785539854,True,0.0,True,0.1727
2025-09-18,UBL,8185,274,1634,1032,26,0,-516.0,-307.37005396402674,-189.39971908400184,True,0.0,True,0.384
2025-09-18,PPL,26168,183,6535,4055,26,0,374.0,1339.8378875320195,1382.8173691320117,True,0.0,True,0.1465
2025-09-19,UBL,20389,470,3443,2190,35,539,502.0,-969.0312333792972,-924.9543010193447,True,0.0,True,0.2225
