day_idx_t,n_symbols,spearman
0,458,0.49391230113042967
1,456,0.4439494856865819
2,462,0.3819446893725486
3,462,0.40707758983158093
4,458,0.4254729574850972
5,456,0.4782893327655237
6,458,0.360968931788536
7,465,0.39455586321744285
8,466,0.39175769075807815
9,463,0.4973141382935342
10,461,0.386543709758773
11,459,0.3490469684176834
12,460,0.3559492803832942
13,465,0.4425326867216217
14,463,0.41678007219713264
15,462,0.4202667176353981
16,467,0.3739357978516639
17,458,0.47088151309295156
18,470,0.40089136029560196
19,463,0.4466093455981432
20,458,0.48846906758189396
21,468,0.43232471607649775
22,462,0.3715631015503413
23,462,0.4320457732237224
24,464,0.4766927480426532
25,465,0.5575189295242875
26,465,0.501108933155919
27,468,0.49506445439135494
28,462,0.5109042706964405
29,463,0.4922870114647303
30,463,0.5102198149903862
31,463,0.48994579728515725
32,460,0.498550455686176
33,457,0.5117365037874373
34,456,0.4761923460662964
35,454,0.45792387585391675
36,451,0.5298317640722311
37,448,0.4537383811591622
38,446,0.4325051417598723
39,456,0.46265047370546164
40,453,0.5145576793139636
41,444,0.521350053733869
42,449,0.48741029870967495
43,440,0.43012219899209364
44,450,0.43885918569477284
45,455,0.4823937585748263
46,459,0.4907870852513641
47,454,0.5006359284674262
48,445,0.5119673218131774
49,449,0.525584745262465
50,449,0.48813389621231335
51,452,0.446026667575167
52,447,0.4628602749257154
53,443,0.42471514513271114
54,452,0.4506554758411879
55,449,0.4812059322563189
56,449,0.4719436144601123
57,443,0.5303955885298951
58,445,0.40409881294517525
59,447,0.4253870079940158
60,439,0.39724186216666607
61,447,0.43646093959539073
62,438,0.39977114215847537
63,446,0.39770048472162167
64,450,0.40766376144689637
65,450,0.44934815172323844
66,450,0.4410338541581578
67,440,0.465346915965496
68,454,0.4464692013532366
69,455,0.3874273331496748
70,463,0.43519857910453225
71,455,0.4719491659374801
72,456,0.448251303573558
73,455,0.48841072848651207
74,458,0.4518667145608699
75,465,0.5032781922186153
76,455,0.4703914054356008
77,457,0.47283359649869927
78,457,0.4480037795221727
79,460,0.3914403155113145
80,459,0.4744138393292632
81,454,0.5169055871546675
82,455,0.43440227224832284
83,462,0.4313796790778768
84,462,0.46739469481492346
85,465,0.4432697023980284
86,464,0.3949390649601499
87,461,0.4638687255674365
88,466,0.4985321764415148
89,463,0.5165099124746837
90,469,0.4790651792205628
91,468,0.529354647368749
92,460,0.5231365254504136
93,463,0.4824056394214259
94,467,0.4221246840700826
95,466,0.4959954753260958
96,465,0.4872131103652111
97,457,0.5089865688785915
98,459,0.49051599671122936
99,466,0.4766699941370793
100,463,0.4460173242718896
101,458,0.42069846654291826
102,461,0.44058184595891664
103,462,0.5202909125293713
104,458,0.4798505896593205
105,461,0.46385347059212073
106,456,0.4377230164893565
107,454,0.5351718438167012
108,456,0.521906433603449
109,456,0.4868744668156123
110,450,0.4791788287089391
111,458,0.44734370354926645
112,447,0.45111916322296003
113,442,0.5278475211616875
114,449,0.5371666518289588
115,441,0.4648257112008045
116,449,0.597631391015648
117,437,0.49793218932933087
118,431,0.6409886613849103
119,447,0.6268497612588153
120,449,0.5215553300678029
121,449,0.5854389788903074
122,429,0.6206647475456002
123,433,0.4752119808514281
124,452,0.7294539271103891
125,448,0.657732033105739
126,448,0.5919073750163899
127,427,0.5598031258721443
128,431,0.6365565706552925
129,442,0.6685738976923061
130,443,0.6430847061958664
131,434,0.6093125957012984
132,425,0.5382549431258984
133,427,0.49001566297496607
134,428,0.5115586850451082
135,444,0.5750229634297593
136,415,0.471830694305638
137,434,0.5109947982352889
138,441,0.453874665184713
139,432,0.5331762638390499
140,422,0.4349499881911389
141,422,0.4316988278127335
142,448,0.5364053819033601
143,456,0.5569907082562985
144,446,0.4625711334863254
145,422,0.4051819895806087
146,451,0.5585603194800516
147,442,0.4649769988297228
148,467,0.4948314840301907
149,457,0.5682693185143243
150,451,0.41758453936261086
151,450,0.5610542783694096
152,453,0.47353146895892084
153,476,0.4490936877386625
154,463,0.5139654891406686
155,456,0.4504709842486254
156,465,0.5862568992783772
157,472,0.5238064670127296
158,469,0.5423292723729294
159,462,0.46326235780710834
160,459,0.43709303049667325
161,465,0.521239279885124
162,464,0.4489594076031105
163,463,0.5057325356020244
164,458,0.48680782820591634
165,467,0.5159305855041293
166,458,0.4168366579328402
167,464,0.5133296434791718
168,462,0.4885494518389364
169,459,0.4691426096048884
170,465,0.47728983803633107
171,460,0.41266287933739004
172,463,0.4491269438301341
173,462,0.4348360809640857
174,463,0.45857349198466574
175,461,0.4577019649206363
176,452,0.4559954611137325
177,457,0.48625649403045695
178,465,0.46552170352570515
179,459,0.4496887507181888
180,471,0.44120096723968144
181,460,0.36873812746393286
182,467,0.35970703065473936
183,467,0.3861685438765883
184,467,0.3579093293238141
185,478,0.34607141268232355
186,477,0.32999845312344556
187,474,0.42372958391029425
188,476,0.37443606428764187
189,469,0.3656981945906242
190,471,0.40560446817981954
191,473,0.49265607785961146
192,478,0.40643568699553173
193,479,0.4188847938692099
194,476,0.39018136338888865
195,475,0.4654442578956627
196,477,0.4157606802893862
197,468,0.419576996669311
198,478,0.3933220488697979
199,480,0.4299449334743896
200,483,0.4031145142502539
201,475,0.3786592384737817
