[02:05:36] pre-pass: dates + symbol universe
[02:05:36] [flow-full] 38 names x 60 dates, 6 workers, half-lives [2.0, 5.0, 15.0]s
[02:06:24]   2025-09-18: 10/38 stocks (47s)
[02:07:12]   2025-09-18: 20/38 stocks (96s)
[02:08:06]   2025-09-18: 30/38 stocks (149s)
[02:10:04]   2025-10-17: 10/38 stocks (60s)
[02:11:08]   2025-10-17: 20/38 stocks (124s)
[02:12:29]   2025-10-17: 30/38 stocks (205s)
[02:14:21]   2025-11-07: 10/38 stocks (72s)
[02:15:16]   2025-11-07: 20/38 stocks (126s)
[02:16:23]   2025-11-07: 30/38 stocks (194s)
[02:17:44]   2025-11-28: 10/38 stocks (44s)
[02:18:40]   2025-11-28: 20/38 stocks (101s)
[02:19:54]   2025-11-28: 30/38 stocks (175s)
[02:21:29]   2025-12-24: 10/38 stocks (48s)
[02:22:24]   2025-12-24: 20/38 stocks (103s)
[02:23:34]   2025-12-24: 30/38 stocks (173s)
[02:25:27]   2026-01-20: 10/38 stocks (81s)
[02:26:46]   2026-01-20: 20/38 stocks (160s)
[02:28:13]   2026-01-20: 30/38 stocks (247s)
[02:29:58]   2026-02-16: 10/38 stocks (65s)
[02:31:33]   2026-02-16: 20/38 stocks (161s)
[02:32:42]   2026-02-16: 30/38 stocks (230s)
[02:34:09]   2026-03-17: 10/38 stocks (46s)
[02:35:14]   2026-03-17: 20/38 stocks (110s)
[02:35:52]   2026-03-17: 30/38 stocks (149s)
[02:37:00]   2026-04-17: 10/38 stocks (47s)
[02:37:54]   2026-04-17: 20/38 stocks (101s)
[02:38:43]   2026-04-17: 30/38 stocks (150s)
[02:40:33]   2026-04-30: 10/38 stocks (78s)
[02:42:01]   2026-04-30: 20/38 stocks (166s)
[02:43:12]   2026-04-30: 30/38 stocks (238s)
[02:06:49]   2025-10-01: 10/38 stocks (73s)
[02:08:03]   2025-10-01: 20/38 stocks (146s)
[02:09:28]   2025-10-01: 30/38 stocks (232s)
[02:11:14]   2025-10-27: 10/38 stocks (52s)
[02:12:05]   2025-10-27: 20/38 stocks (103s)
