symbol,n_days_screened,n_days_top20,n_days_material,n_days_tradeable,median_rank,best_rank,n_days_top20_rankonly,days_traded,days_unscreenable,pct_days_unscreenable,pct_days_top20,pct_days_top20_screened,pct_days_top20_rankonly,pct_days_material,pct_days_tradeable,n_days_level,ceiling_median,ceiling_p25,ceiling_p75,ceiling_max,ceiling_raw_median,notional_m_median,spread_bps_median,pct_time_wide_median,mk1_bps_median,mk5_bps_median,mk10_bps_median,mk60_bps_median,pct_days_edge5_pos,pct_days_edge10_pos,ceiling_iqr,iqr_over_median,net5_trec_median,net10_trec_median
WTL,207,119,207,207,18.0,1.0,119,207,0,0.0,0.5748792270531401,0.5748792270531401,0.5748792270531401,1.0,1.0,186.0,71103.21444789809,47282.56592032809,127962.01375718368,1080999.8240049095,83154.39878855948,56.23271694500001,59.70149253731349,1.0,21.71013156945719,20.79451043423763,20.83610060162504,18.994919082810846,1.0,1.0,80679.4478368556,1.1346807379007404,20.01451043423763,20.05610060162504
ZUMA,167,78,145,167,27.0,1.0,78,168,1,0.005952380952380952,0.4642857142857143,0.46706586826347307,0.4642857142857143,0.8630952380952381,0.9940476190476191,147.0,56811.9082755474,13241.13718531417,145447.16606028756,969463.4737250002,114114.88067374889,19.04250584,144.08715515726632,0.950354609929078,33.574873962552026,34.02200245429885,39.05858860584884,41.81712028436936,0.8775510204081632,0.9047619047619048,132206.0288749734,2.327083051562917,33.24200245429885,38.27858860584884
FNEL,207,85,202,206,27.0,1.0,85,207,0,0.0,0.4106280193236715,0.4106280193236715,0.4106280193236715,0.9758454106280193,0.9951690821256038,186.0,53208.45553832759,28164.853054604082,109244.22734290527,1233925.9330535678,72391.26461153719,136.5567281,25.945419559187627,0.3838927802918948,8.602165811731373,7.333236168051976,6.866356560900461,7.112432289725842,0.9516129032258065,0.8924731182795699,81079.37428830119,1.5238061971164973,6.553236168051976,6.086356560900461
PACE,207,70,193,207,38.0,1.0,70,207,0,0.0,0.33816425120772947,0.33816425120772947,0.33816425120772947,0.9323671497584541,1.0,186.0,43021.07964528009,15090.192361547037,112599.97036220814,1200265.7220187765,61063.42159465645,195.51632604999998,22.753128555176257,0.33842031762528013,5.640997124635108,5.118237993216486,4.55135669710813,2.653080833768036,0.967741935483871,0.9301075268817204,97509.77800066111,2.2665581339346756,4.338237993216485,3.7713566971081294
SGPL,202,69,167,197,46.5,1.0,69,207,5,0.024154589371980676,0.3333333333333333,0.3415841584158416,0.3333333333333333,0.8067632850241546,0.9516908212560387,181.0,41684.00432778235,10594.68610732064,100112.1660879486,875765.0509419768,57204.85865265389,28.937182299999996,66.90141052436908,0.766994633273703,11.953457584891513,10.3879590178384,10.270366590529802,9.273705096073504,0.861878453038674,0.8066298342541437,89517.47998062796,2.1475259256933876,9.6079590178384,9.490366590529803
TPL,205,55,172,205,70.0,1.0,55,207,2,0.00966183574879227,0.26570048309178745,0.2682926829268293,0.26570048309178745,0.8309178743961353,0.9903381642512077,184.0,23573.19561914417,8213.50886439443,76058.7215542115,1755207.6624939893,34810.27464659605,41.047841055,36.838108528518006,0.5682074341605499,6.588363688156208,5.952525572606446,5.830674325328093,7.054539253975323,0.8858695652173914,0.875,67845.21268981707,2.8780659943583924,5.172525572606446,5.050674325328092
JSML,205,52,165,202,58.0,1.0,52,207,2,0.00966183574879227,0.25120772946859904,0.25365853658536586,0.25120772946859904,0.7971014492753623,0.9758454106280193,185.0,27084.578465941453,10726.377302634879,67491.54868146138,802321.0683301903,51045.73157317898,7.90728789,167.5213675213682,0.9732620320855615,38.898128898128725,39.874763705103796,39.4466006175058,39.321629658509934,0.9459459459459459,0.9513513513513514,56765.171378826504,2.0958484345698074,39.094763705103794,38.6666006175058
KOIL,206,51,147,206,86.5,1.0,51,207,1,0.004830917874396135,0.2463768115942029,0.24757281553398058,0.2463768115942029,0.7101449275362319,0.9951690821256038,185.0,21512.24705611901,4760.230994083127,64746.11634208409,972011.1542442116,36878.74058278308,35.6744271,48.20333041191912,0.6661538461538462,7.691583535974355,8.39643758632194,7.054608580029226,5.431564480638578,0.8918918918918919,0.827027027027027,59985.885348000964,2.788452791171269,7.616437586321939,6.274608580029226
PTC,207,46,163,206,66.0,1.0,46,207,0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7874396135265701,0.9951690821256038,186.0,16666.608381694998,5354.41771348462,54331.17051895131,670795.6891094819,33496.57527346494,500.728542405,12.330460913693628,0.06998256349456147,2.428664949620816,2.1452984625447367,1.9481457441879289,1.2314305309956108,0.9193548387096774,0.8172043010752689,48976.75280546669,2.938615444955079,1.3652984625447366,1.1681457441879288
KTML,207,40,171,207,75.0,1.0,40,207,0,0.0,0.1932367149758454,0.1932367149758454,0.1932367149758454,0.8260869565217391,1.0,186.0,18011.272355639296,7153.7360181406675,55362.59433182939,5216422.132185628,29446.691055578525,18.233628600000003,56.72270750292303,0.7727282114828584,10.58340390456062,10.781121000487769,10.371922578555246,9.51351150614284,0.8655913978494624,0.8924731182795699,48208.85831368872,2.6765937109709306,10.00112100048777,9.591922578555247
