symbol,trades,trades_per_hr,median_gap_s,volume_sh,notional_m,median_px,median_spread_bps,p90_spread_bps,p99_spread_bps,pct_time_wide,qualifying_vol_sh,qualifying_notional_m,pct_vol_qualifying,ceiling_pkr
KTML,1093,183.00464780365067,0.0,3852004.0,213.15299781000002,55.75,53.144375553588,149.5327102803733,340.533403749668,0.7489514679448772,3338471.0,184.27868630999998,0.8666841986664604,5909837.927778266
FFC,4954,825.6746125458161,0.0,1168594.0,660.4305715700001,556.94,4.850313923095252,11.856642414442973,24.184929364415797,0.006582040432534086,511423.0,294.66797160000004,0.4376395908245293,5771539.086744681
SYS,5864,981.7947139575101,0.12,4079712.0,595.80443748,147.11,5.425935973954428,16.98888926641976,61.06357993625208,0.030306562536426156,2571665.0,373.68520491000004,0.6303545446345232,3908737.5172560504
BAFL,3427,573.2184983248052,0.0,8480236.0,487.10632668000005,58.25,13.70097619455357,39.983573595587714,93.8640709195201,0.1801470588235294,3259871.0,183.90874674,0.38440805185138716,2551189.6846539984
PSO,8015,1337.1943024316095,0.0,3193203.0,1098.8699541100002,346.01,4.3075597673927515,13.534332570228134,28.364639599651053,0.006613198255241311,955803.0,326.7310592,0.29932422085285526,1517935.241356154
HBL,3488,581.1397840147437,0.05,3456632.0,1017.4743862500001,295.05,9.529643999726796,18.548183121153745,32.81127401997246,0.019533369506239826,402533.0,115.79622964000002,0.11645237329284691,1487476.3787171743
KOHC,2340,389.0866131685767,0.0,2857644.0,314.73918899,109.99,24.360535931790135,70.57547069460708,135.46910755148647,0.41011371884829423,1696482.0,188.33535823000003,0.5936645712342056,1316199.930465676
PKGS,170,39.34137903104497,0.0,248542.0,201.22436299,803.005,122.69938650306749,278.66170149630057,472.44094488188915,0.9622093023255814,243504.0,197.07421101,0.9797297841008763,1270878.1711425716
ITANZ,1616,269.8124853690367,0.0,2409465.0,102.63613636999999,42.68,23.86634844868769,84.09250175192699,213.67030442274543,0.4763779527559055,784627.0,32.41306667,0.32564365948457435,951945.8317140917
AKBL,2823,471.6862092872418,0.01,11723723.0,1286.27074857,109.0,17.526866841935124,33.280678036076196,57.37022300360788,0.1485961123110151,3416505.0,378.18058217000004,0.29141809304092225,706836.0319872359
NBP,3388,565.4824948753964,0.16,5856601.0,1170.61089466,201.5,8.851733464470461,20.94449708273156,37.21023784381803,0.027284150062825346,738584.0,146.86073765,0.12611137415712628,513679.0753678458
SGPL,5497,919.0558200790194,0.24,7218441.0,551.2375169400001,75.5,25.604743615659018,80.96015907960985,197.61218608480826,0.4430724823604875,2458815.0,183.9972172,0.34062964565340353,511800.3280695605
TPLRF1,382,64.92857903643831,0.0,15194541.0,114.87412411000001,9.66,73.26007326007355,233.2979851537634,314.21467907466854,0.8543247344461306,7573441.0,73.64226414,0.4984317064924831,465123.4283590213
KOHTM,6545,1092.3121482567317,0.4,1967068.0,346.31634257,173.13,22.021325915623287,62.62748139848909,181.1236547237054,0.30076058201058203,668720.0,119.67498356,0.339957744216265,434092.43664318766
ATRL,3348,559.7464525441876,0.0,1036829.0,885.17239787,864.99,11.003243664539026,34.51031256152237,100.19615529079523,0.1419624217118998,140460.0,121.53021381,0.13547074782823398,413760.9399790133
TPLRF1-JUL,53,10.170087788965347,0.01,3418000.0,32.760235,9.99,469.97389033942676,1053.7084398976976,1083.3574596171968,1.0,3168000.0,30.435235,0.9268578115857227,377177.45891549956
THALL,104,17.546688062628178,0.0,67842.0,43.71390837,645.0,77.82101167315174,141.36194710176997,217.60253468265046,0.7542662116040956,53426.0,34.45106741000001,0.7875062645558798,320047.6378022924
